"","STUWVAK","NAAM","CODE_OVERSTORT","TYPERGD","geometry"
"46","251JF_251JE","Peelse Loop_","GEM-ELS-KER-22","Gemengd gerioleerdgebied","181587.199999999,399296.021000002,0"
"47","251N_251JF","Peelse Loop_","GEM-ELS-KER-22","Gemengd gerioleerdgebied","181587.199999999,399296.021000002,0"
