"","STUWVAK","NAAM","CODE_OVERSTORT","TYPERGD","geometry"
"32","114DDS_114CZS","Strijpse Beek_","STA-WES-KER-12","Gemengd gerioleerdgebied","187820.272999998,399532.647,0"
"33","114CMS_114DDS","Strijpse Beek_","STA-WES-KER-12","Gemengd gerioleerdgebied","187820.272999998,399532.647,0"
"34","114CKS_114CMS","Strijpse Beek_","STA-WES-KER-12","Gemengd gerioleerdgebied","187820.272999998,399532.647,0"
