"","STUWVAK","NAAM","CODE_OVERSTORT","TYPERGD","geometry"
"37","103BIC_103GEW","Osse Aanvoersloot","OSS-OSS-KER-24","Gemengd gerioleerdgebied","163285.441,421035.252,0"
"37.1","103BIC_103GEW","Osse Aanvoersloot","OSS-OSS-USS-4","Gemengd gerioleerdgebied","162546.030999999,420743.300999999,0"
"38","103GEW_103DT1","Osse Aanvoersloot","OSS-OSS-USS-4","Gemengd gerioleerdgebied","162546.030999999,420743.300999999,0"
"37.2","103BIC_103GEW","Osse Aanvoersloot","OSS-OSS-MET-25","Verbeterd gescheiden stelsel","163253.98,421328.710999999,0"
"37.3","103BIC_103GEW","Osse Aanvoersloot","OSS-OSS-HZB-3","Gemengd gerioleerdgebied","162021.269000001,420385.956,0"
"38.1","103GEW_103DT1","Osse Aanvoersloot","OSS-OSS-HZB-3","Gemengd gerioleerdgebied","162021.269000001,420385.956,0"
"36","103BIB_103BIC","Osse Aanvoersloot","OSS-OSS-KER-2","Gemengd gerioleerdgebied","163772.616,421774.442000002,0"
"37.4","103BIC_103GEW","Osse Aanvoersloot","OSS-OSS-KER-2","Gemengd gerioleerdgebied","163772.616,421774.442000002,0"
